Datum,Schlusskurs,Tageshoch,Tagestief
12.10.2015,4671.13,4710.75,4659.24
09.10.2015,4666.34,4715.20,4637.29
08.10.2015,4573.99,4588.17,4527.00
07.10.2015,4636.88,4690.28,4607.07
06.10.2015,4602.15,4635.41,4543.60
05.10.2015,4642.83,4669.65,4586.50
02.10.2015,4594.11,4601.25,4470.12
01.10.2015,4536.64,4672.48,4522.34
30.09.2015,4612.46,4644.68,4483.13
29.09.2015,4429.43,4452.54,4370.33
28.09.2015,4418.30,4502.80,4382.28
25.09.2015,4499.33,4560.52,4487.72
24.09.2015,4544.64,4563.43,4487.83
23.09.2015,4520.55,4577.75,4515.19
22.09.2015,4561.51,4724.59,4526.46
21.09.2015,4697.05,4748.44,4681.86
18.09.2015,4627.29,4788.22,4627.29
17.09.2015,4726.77,4744.29,4687.36
16.09.2015,4774.54,4788.27,4712.53
15.09.2015,4733.29,4745.72,4662.29
14.09.2015,4677.86,4729.12,4663.28
11.09.2015,4749.01,4778.12,4695.63
10.09.2015,4782.34,4819.13,4738.90
09.09.2015,4770.56,4817.78,4760.31
08.09.2015,4779.56,4800.09,4572.07
07.09.2015,4601.99,4662.88,4589.00
04.09.2015,4583.30,4684.22,4557.73
03.09.2015,4694.75,4777.47,4630.46
02.09.2015,4559.87,4598.18,4513.99
01.09.2015,4482.41,4534.12,4477.10
28.08.2015,4600.63,4647.58,4537.12
27.08.2015,4560.25,4575.37,4429.08
26.08.2015,4349.75,4443.02,4336.49
25.08.2015,4394.33,4404.33,4277.89
24.08.2015,4274.61,4302.25,4194.73
21.08.2015,4444.15,4467.86,4386.64
20.08.2015,4534.00,4556.70,4460.57
19.08.2015,4500.09,4540.55,4474.47
18.08.2015,4554.28,4630.45,4519.36
17.08.2015,4616.77,4653.79,4583.37
14.08.2015,4653.05,4690.40,4626.50
13.08.2015,4643.63,4708.18,4622.56
12.08.2015,4644.68,4657.68,4537.59
11.08.2015,4661.78,4778.59,4627.37
10.08.2015,4807.61,4831.20,4683.27
07.08.2015,4702.34,4737.90,4669.07
06.08.2015,4747.83,4773.00,4734.10
05.08.2015,4762.82,4797.69,4750.89
04.08.2015,4796.16,4834.73,4773.67
03.08.2015,4739.80,4770.84,4696.89
31.07.2015,4747.05,4809.26,4735.24
30.07.2015,4809.24,4858.19,4767.61
29.07.2015,4852.00,4872.50,4811.02
28.07.2015,4798.84,4818.28,4708.89
27.07.2015,4685.36,4761.09,4657.41
24.07.2015,4799.98,4823.22,4732.09
23.07.2015,4789.22,4920.79,4786.94
22.07.2015,4901.63,4945.55,4893.85
21.07.2015,4986.29,5068.56,4984.00
20.07.2015,5047.58,5083.15,5025.41
17.07.2015,5064.64,5154.20,5041.09
16.07.2015,5101.13,5146.64,5088.72
15.07.2015,5062.09,5176.24,5054.79
14.07.2015,5075.39,5078.11,5011.81
13.07.2015,5076.78,5126.31,4993.64
10.07.2015,5005.38,5030.03,4979.83
09.07.2015,5085.59,5182.05,5009.06
08.07.2015,4953.50,4999.10,4732.30
07.07.2015,4909.51,5037.74,4786.29
06.07.2015,5036.17,5090.43,5012.66
03.07.2015,5177.25,5241.14,5171.86
02.07.2015,5224.65,5250.81,5201.64
01.07.2015,5231.98,5265.89,5184.05
30.06.2015,5172.75,5217.63,5121.60
29.06.2015,5161.10,5194.04,5123.28
26.06.2015,5187.14,5211.32,5141.92
25.06.2015,5142.86,5152.68,5083.04
24.06.2015,5150.87,5202.20,5110.69
23.06.2015,5154.95,5183.16,5111.96
22.06.2015,4991.18,5016.32,4978.39
19.06.2015,4989.87,5083.22,4977.54
18.06.2015,5055.85,5116.53,5045.73
17.06.2015,5071.88,5109.80,5052.91
16.06.2015,5113.80,5188.03,5112.02
15.06.2015,5165.32,5185.27,5123.22
12.06.2015,5254.00,5254.44,5203.37
11.06.2015,5242.46,5356.79,5216.66
10.06.2015,5329.92,5373.20,5272.94
09.06.2015,5292.16,5332.06,5264.23
08.06.2015,5282.23,5284.01,5241.03
05.06.2015,5347.79,5373.44,5298.30
04.06.2015,5274.86,5362.62,5264.17
03.06.2015,5327.89,5372.70,5323.01
02.06.2015,5417.86,5429.07,5373.92
01.06.2015,5495.74,5538.77,5480.18
